sitios,fecha,tem_agua,tem_aire,od,ph,dbo_mg_l,dqo_mg_l,turbiedad_ntu
Canal Villanueva y Río Luján,22/2/2023,26.0,24.0,6.59,7.24,2.0,30.0,29.0
Río Lujan y Arroyo Caraguatá,22/2/2023,26.8,25.0,5.94,6.96,2.1,30.0,24.0
Canal Aliviador y Río Lujan,22/2/2023,27.6,24.0,6.14,6.88,4.1,30.0,21.0
Río Carapachay y Arroyo Gallo Fiambre,22/2/2023,26.1,25.0,5.02,6.82,2.2,30.0,28.0
Río Reconquista y Río Lujan,22/2/2023,25.9,24.0,5.28,6.69,3.3,30.0,24.0
Rio Tigre 100m antes del Rio Luján,22/2/2023,25.2,24.0,5.02,6.4,4.3,30.0,20.0
Río Lujan y Canal San Fernando,22/2/2023,29.4,29.0,3.45,6.83,3.5,30.0,6.0
Río Capitán y Río San Antonio,22/2/2023,28.5,29.0,6.7,7.04,2.0,30.0,28.0
Arroyo Abra Vieja y Santa Rosa,22/2/2023,28.0,29.0,5.19,6.91,2.0,30.0,45.0
Del Arca,22/2/2023,26.0,14.0,5.65,,2.1,30.0,21.0
Espigón La Farola,22/2/2023,,,,,,,
Reserva Ecológica,22/2/2023,28.0,27.0,6.5,6.0,3.1,52.0,20.0
Playa Espigón de Pacheco,22/2/2023,28.7,30.0,8.53,6.95,2.5,30.0,24.0
Perú Puente,22/2/2023,,,,,,,
Reserva Barrio El Ceibo,22/2/2023,25.9,28.0,8.27,7.24,4.1,30.0,16.0
Puerto de Olivos Espigón,22/2/2023,25.5,28.0,6.79,6.6,3.0,57.0,15.0
Costa y Melo,22/2/2023,24.0,28.0,7.41,6.58,4.9,30.0,14.0
Parque de los Niños,22/2/2023,27.8,,8.0,7.7,7.0,50.0,33.0
Costanera Norte - Espigón Abanico,22/2/2023,25.2,,6.4,7.3,,50.0,50.0
Club de Pescadores,22/2/2023,26.4,,7.9,7.7,6.0,50.0,65.0
Reserva Ecológica Costanera Sur - Playita,22/2/2023,25.6,,8.4,7.8,17.0,50.0,66.0
Escollera de Propaneros,22/2/2023,24.69,25.0,3.03,7.0,4.9,30.0,23.0
Polo Petroquímico Dock Sud,22/2/2023,23.87,26.0,4.85,7.23,2.6,30.0,27.0
Arroyo Sarandí,22/2/2023,24.2,26.0,4.99,7.36,3.5,30.0,23.0
Costa de Villa Domínico,22/2/2023,24.5,26.0,3.02,7.45,5.3,30.0,21.0
Arroyo Santo Domingo,22/2/2023,24.6,26.0,1.99,7.5,4.5,30.0,21.0
Espora 400 m,22/2/2023,25.3,28.0,6.82,5.32,6.3,30.0,23.0
Náutico 400 m,22/2/2023,25.0,28.0,6.3,5.31,3.2,30.0,35.0
Pejerrey Club 400 m,22/2/2023,25.0,28.0,7.23,6.32,2.7,30.0,38.0
Calle 14 y Costa - Salida cloaca,22/2/2023,,24.0,,,17.0,120.0,150.0
Puerto Trinidad calle 47,22/2/2023,,26.0,,,6.5,59.0,140.0
Costanera Hudson Calle 63,22/2/2023,,28.0,,,7.6,96.0,120.0
Boca Cerrada (Res.Nat. Punta Lara),22/2/2023,,24.0,,,4.1,38.0,80.0
Camping Eva Perón,22/2/2023,25.4,25.0,11.49,9.59,3.5,30.0,60.0
Toma de agua Club de Pesca,22/2/2023,24.2,25.0,7.13,8.69,11.0,230.0,432.0
Arroyo El Gato,22/2/2023,24.4,25.0,2.68,7.82,12.0,90.0,65.0
Ensenada Prefectura Isla Santiago,22/2/2023,22.8,25.0,6.13,8.07,3.2,40.0,27.0
Balneario Palo Blanco,22/2/2023,22.0,25.0,6.24,7.75,3.8,30.0,30.0
Diagonal 66 (descarga cloaca),22/2/2023,22.0,25.0,5.92,7.96,4.8,30.0,2.9
Playa La Bagliardi,22/2/2023,21.0,25.0,6.65,7.76,3.3,70.0,13.0
Balneario Municipal,22/2/2023,20.0,24.0,7.53,8.21,3.7,59.0,95.0
Playa La Balandra,22/2/2023,20.0,23.0,5.8,7.47,3.4,58.0,17.0
Canal Villanueva y Río Luján,10/5/2023,18.0,12.0,7.09,7.22,2.0,30.0,45.0
Río Lujan y Arroyo Caraguatá,10/5/2023,18.0,12.0,7.12,7.22,2.0,30.0,60.0
Canal Aliviador y Río Lujan,10/5/2023,18.0,12.0,6.16,7.33,2.0,30.0,45.0
Río Carapachay y Arroyo Gallo Fiambre,10/5/2023,18.0,12.0,6.08,7.32,2.0,30.0,50.0
Río Reconquista y Río Lujan,10/5/2023,18.0,12.0,5.85,7.06,2.0,30.0,45.0
Rio Tigre 100m antes del Rio Luján,10/5/2023,19.0,11.0,5.26,7.05,3.6,30.0,45.0
Río Lujan y Canal San Fernando,10/5/2023,18.0,15.0,5.88,7.16,2.0,30.0,50.0
